interchange_id,from_entity,from_name,to_entity,to_name,transfer_type,walking_distance_m,walking_time_min,confirmed,notes
INT_OSM_RAIL_628_OSM_BUS_3264,OSM_RAIL_6285857248,கிண்டி,OSM_BUS_3264888779,Guindy Bus Stand,walking_interchange,249.4,3.3,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_628_GTFS_STOP_14,OSM_RAIL_6285857248,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,walking_interchange,195.5,2.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_639_OSM_RAIL_646,OSM_RAIL_6397600715,வண்ணாரப்பேட்டை,OSM_RAIL_6460934200,Washermanpet,walking_interchange,154.5,2.1,False,Multimodal candidate between metro and suburban_rail.
INT_OSM_RAIL_639_OSM_RAIL_646,OSM_RAIL_6397600716,வண்ணாரப்பேட்டை,OSM_RAIL_6460934200,Washermanpet,walking_interchange,159.8,2.1,False,Multimodal candidate between metro and suburban_rail.
INT_OSM_RAIL_843_OSM_BUS_1391,OSM_RAIL_8430636714,Thiruvottriyur,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,walking_interchange,44.5,0.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_843_GTFS_STOP_10,OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,walking_interchange,44.4,0.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_843_GTFS_STOP_10,OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,walking_interchange,47.3,0.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_843_GTFS_STOP_10,OSM_RAIL_8430636716,சுங்கச்சாவடி,GTFS_STOP_10931,Toll Gate Terminus,walking_interchange,68.4,0.9,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_847_OSM_BUS_1391,OSM_RAIL_8477103055,திருவொற்றியூர்,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,walking_interchange,45.8,0.6,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_847_GTFS_STOP_53,OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_5350,Thiruvottriyur Depot,walking_interchange,93.9,1.3,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_847_GTFS_STOP_10,OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,walking_interchange,45.8,0.6,False,Multimodal candidate between metro and bus.
